date,Close,High,Low,Open,Volume,SMA_5,SMA_10,SMA_20,RSI_14,Upper_Band,Middle_Band,Lower_Band,MACD
20141001,0.02368276125233089,0.02348245219384082,0.025998192257680575,0.025021527868971702,0.01647069970020534,0.024525153817797296,2.5726119855764003e-05,2.7498770712439588e-05,0.16449257345587442,0.03267900715445379,2.7498770712439588e-05,0.03364967923957919,0.3639113203200586
20141002,0.023551197104239516,0.022962628866994517,0.02586257047707151,0.02330952207958778,0.015292743985854857,0.023908210133396085,2.514199315677448e-05,2.668608970664769e-05,0.16134680685725133,0.03148884595412646,2.668608970664769e-05,0.033202386229910286,0.36254752266594376
20141003,0.02381434003410761,0.021403166113451,0.025048794538387736,0.022914451144086842,0.004743447744186062,0.02347903133445134,2.4585035211732668e-05,2.5918557466279483e-05,0.1785204630303412,0.030128132514674444,2.5918557466279483e-05,0.03305787544876347,0.36195015393058894
20141004,0.02381434003410761,0.021403166113451,0.025048794538387736,0.022914451144086842,0.004743447744186062,0.02347903133445134,2.4585035211732668e-05,2.5918557466279483e-05,0.1785204630303412,0.030128132514674444,2.5918557466279483e-05,0.03305787544876347,0.36195015393058894
20141005,0.02381434003410761,0.021403166113451,0.025048794538387736,0.022914451144086842,0.004743447744186062,0.02347903133445134,2.4585035211732668e-05,2.5918557466279483e-05,0.1785204630303412,0.030128132514674444,2.5918557466279483e-05,0.03305787544876347,0.36195015393058894
20141006,0.023551197104239516,0.02114325445002785,0.02586257047707151,0.022651065638027768,0.0,0.022862087650050142,2.3973741269681564e-05,2.5105876460487572e-05,0.1712241604233044,0.028189880394716912,2.5105876460487572e-05,0.03348909321719591,0.36159620339257625
20141007,0.023551197104239516,0.02114325445002785,0.02586257047707151,0.022651065638027768,0.0,0.022245143965648917,2.3308109819735053e-05,2.4518940357869302e-05,0.1712241604233044,0.027223256744665705,2.4518940357869302e-05,0.033291776450726285,0.361618932702392
20141008,0.022893347096411956,0.020623431123181546,0.02382813817286697,0.02120245267829056,0.017708907793858156,0.02208420434005884,2.2764737007110154e-05,2.3990052770420052e-05,0.15144941409452817,0.026551522901817365,2.3990052770420052e-05,0.032879941068418655,0.361481692684939
20141009,0.02684046909390532,0.024652047452249595,0.02816826897000889,0.025679984310531714,0.015774809554237823,0.02275479556079077,2.279190576105785e-05,2.371915910182276e-05,0.4004114520650699,0.025911023097546823,2.371915910182276e-05,0.033017122550454595,0.36440450863745943
20141010,0.024209047112067075,0.022702709976575933,0.026405087769527366,0.024231364027206867,0.01075757113820614,0.022835265373585822,2.2615308860397788e-05,2.3409565825304314e-05,0.30725958342915927,0.02555342516303312,2.3409565825304314e-05,0.03273422632223952,0.3651431671150306
20141011,0.024209047112067075,0.022702709976575933,0.026405087769527366,0.024231364027206867,0.01075757113820614,0.022835265373585822,2.2615308860397788e-05,2.3409565825304314e-05,0.30725958342915927,0.02555342516303312,2.3409565825304314e-05,0.03273422632223952,0.3651431671150306
20141012,0.024209047112067075,0.022702709976575933,0.026405087769527366,0.024231364027206867,0.01075757113820614,0.022835265373585822,2.2615308860397788e-05,2.3409565825304314e-05,0.30725958342915927,0.02555342516303312,2.3409565825304314e-05,0.03273422632223952,0.3651431671150306
20141013,0.02907717668094144,0.026991237969067147,0.028710786262464746,0.025548298881089837,0.01443636224343471,0.023961859161427845,2.2873411267457924e-05,2.3364417059880624e-05,0.5075242925003526,0.025431181585572088,2.3364417059880624e-05,0.03277528502789252,0.36934727604369444
20141014,0.02697204787568204,0.026081554374081523,0.028439527616236818,0.02607506989320796,0.01772301567790561,0.02465927564202619,2.291416515382252e-05,2.3099973624841086e-05,0.4367777936310193,0.02463457616038353,2.3099973624841086e-05,0.033110430381324635,0.3713973416858798
20141015,0.02684046909390532,0.02660137770092784,0.028982029823682864,0.027655368282387058,0.02227959920717374,0.025463984211883894,2.3240189445751893e-05,2.28355294724314e-05,0.4324959445758064,0.023740782796264834,2.28355294724314e-05,0.03355970548996888,0.3731008935332059
20141016,0.02697204787568204,0.02452209884753344,0.02708322684259229,0.025416613451647946,0.02049122713481081,0.025490809471750295,2.359338249162899e-05,2.2725881958280926e-05,0.43768144348976,0.023463663533937723,2.2725881958280926e-05,0.033636215780766476,0.3746954905955025
20141017,0.029340319610809518,0.027381112691197293,0.031287720774115346,0.028050453865063288,0.013315704001653259,0.02653693344679728,2.41639240582016e-05,2.273233147446853e-05,0.5258806358159281,0.023487144861428458,2.273233147446853e-05,0.03362328244172841,0.3777329756646058
20141018,0.029340319610809518,0.027381112691197293,0.031287720774115346,0.028050453865063288,0.013315704001653259,0.02653693344679728,2.41639240582016e-05,2.273233147446853e-05,0.5258806358159281,0.023487144861428458,2.273233147446853e-05,0.03362328244172841,0.3777329756646058
20141019,0.029340319610809518,0.027381112691197293,0.031287720774115346,0.028050453865063288,0.013315704001653259,0.02653693344679728,2.41639240582016e-05,2.273233147446853e-05,0.5258806358159281,0.023487144861428458,2.273233147446853e-05,0.03362328244172841,0.3777329756646058
20141020,0.030129748400413797,0.028290803513178336,0.03237275535902705,0.02976245965444721,0.01619699602664081,0.02675152359212017,2.484314064056501e-05,2.2764581207516997e-05,0.5527307616898919,0.02361750420060564,2.2764581207516997e-05,0.03354340979654216,0.38077471968487403
20141021,0.032103320374424496,0.02985025903972642,0.03277963578586404,0.02976245965444721,0.018220387885720814,0.027797647567167155,2.5726122877536194e-05,2.2867779564164926e-05,0.6153504070018289,0.024116563195435342,2.2867779564164926e-05,0.033191626650106595,0.38460383956337385
